smiles,total_score,Tanimoto ROCS sim,ADV,PostDock Tanimoto ROCS sim,raw_ADV,valid
CCCN(C(=O)CNC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C1CC[100N]([100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)C1,0.97652304,0.2372088,0.99156046,0.96148556,-13.28,1
CCC[100N](c1cnn(CCOCCCOCCOC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)c1)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.93802625,0.24713188,0.9395796,0.9364729,-9.767,1
CCCN(CC(=O)Nc1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c(C)c1)C(=O)COC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9861563,0.26905093,0.9860159,0.98629665,-12.393,1
CCCN(CCCNC(=O)c1cccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1)CC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.44496518,0.24985227,0.00586067,0.8840697,3.918,1
CCCOC(=O)c1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1C(=O)NCCOCCOCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.59242135,0.24853078,0.3534627,0.83138,-3.951,1
CCCn1cc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1C(=O)NC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.96953785,0.30936924,0.99082726,0.9482485,-13.134,1
CC[100N](c1ccc(OCCOCCOC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc1)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.60518426,0.20874858,0.4652296,0.7451389,-4.758,1
CC[100N](CC(=O)NCCCCC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.026620107,0.0,0.053240214,0.0,0.0,1
CC[100N](CCCCCNC(=O)COCC(=O)NC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.71281517,0.31107396,0.7232727,0.7023576,-6.669,1
CCN(CCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)C[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.98425835,0.2272805,0.99326533,0.9752514,-13.675,1
CC[100N](CCNC(=O)COCCOCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.1659466,0.22829263,0.32837844,0.0035147637,-3.757,1
CCN(CC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)C[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.97861564,0.31132656,0.998424,0.95880735,-16.207,1
CCN(CCOCCOCCOCCOCCOCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)CCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.49658307,0.24515867,6.2842e-08,0.9931661,23.807,1
CC[100N](CCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.9291891,0.23350434,0.9289229,0.92945534,-9.465,1
CC[100N](CCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.97476494,0.23395135,0.9961291,0.95340073,-14.642,1
CCN(CCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)Cc1ccc(C[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1,0.9757832,0.22175333,0.98314923,0.96841717,-12.064,1
CCN1C(=O)C([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)N=C1c1ccc(OCCOCCOCCOCCOC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc1,0.423671,0.2911983,0.5473485,0.2999935,-5.33,1
CCNC(=O)C(CCCCNC(=O)COC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)NC(=O)COCCOCCOCCOCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.3573488,0.2544446,0.39055628,0.32414132,-4.227,1
CCNC(=O)CN(c1cccc(C[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1)C(c1ccccc1)[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.97615594,0.27398154,0.98767984,0.96463203,-12.616,1
CCNC(=O)c1cc(C[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc(OC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)c1,0.026620107,0.0,0.053240214,0.0,0.0,1
CCNC(OCc1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1)C(=O)NC(C(C)C)[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.98484015,0.24873601,0.98712134,0.9825589,-12.538,1
CCNc1nc(C=C[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc(C(=O)[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)n1,0.9723702,0.31545472,0.9748133,0.96992713,-11.351,1
CCOC(=O)C(CC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)NC(=O)C(C)[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.97432953,0.2821684,0.983804,0.9648551,-12.134,1
CCOC(=O)C(NC(=O)COCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C(=O)N(C)CC[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.7653341,0.23165272,0.8490204,0.6816478,-8.0,1
CCOC(=O)COc1cc([101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc(OCCCOCCCC[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1,0.026620107,0.0,0.053240214,0.0,0.0,1
CCOC(C(=O)C=CCOCCOCCOCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9050764,0.24346255,0.88954896,0.9206038,-8.624,1
CCOC(C)C(C(=O)NCCCCCCCCCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.5179361,0.20487036,0.042687785,0.99318445,0.403,1
CCOC(CNC(=O)COCC(=O)NC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.15616511,0.23902161,0.30570084,0.006629373,-3.575,1
CCOC(CNC(=O)COC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.8274647,0.26684043,0.7654784,0.8894511,-7.055,1
CCOC1CN(C[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)CCC1NC(=O)COCCCCOCCCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.36241552,0.29971865,0.6593202,0.06551087,-6.147,1
CCOCC(=O)Nc1cc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)ccc1OCCOCC(=O)NCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.2276851,0.28822786,0.45536265,7.539673e-06,-4.689,1
CCOCCN(CCCOCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C(=O)c1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)nc1,0.692456,0.23736033,0.5793387,0.8055733,-5.556,1
CCOCCN1CC(c2cccc(OC[101C](=O)[101O]c3ccc4c(c3)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC3CCCc5ccccc53)C4)c2)=NC([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)C1=O,0.36318642,0.24549963,7.062677e-05,0.7263022,11.604,1
CCOCCNC(=O)C(C)C1(c2cccc([100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)c2)CC2(C(=O)Nc3ccc([101CH2][101O]c4ccc5c(c4)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC4CCCc6ccccc64)C5)cc3)CCC1C2,1.8364115e-14,0.2897318,3.672823e-14,0.0,48.74,1
CCOc1c([100O][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cccc1C(=O)CNCCCCOCC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9670348,0.23839886,0.96296513,0.97110444,-10.66,1
CCOc1cc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)ccc1OC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9061383,0.30470377,0.96339387,0.84888273,-10.681,1
CCOc1ccc(C(=O)[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1C#C[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9840207,0.23431747,0.99441445,0.97362703,-14.002,1
CCOc1ccc([101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc1NC(=O)CCCOc1ccc(CC[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1,0.53142726,0.25756228,0.76989275,0.29296178,-7.098,1
CCOc1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1COCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.98009884,0.2594615,0.9777551,0.9824425,-11.572,1
CCc1c(C)c([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c(C)c(=O)n1CC(=O)NCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.97832775,0.20990163,0.9753725,0.981283,-11.391,1
CCc1cc(OCC(=O)NC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)ccc1[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.9874095,0.2427389,0.99269176,0.9821272,-13.532,1
CCc1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1CN(C[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C(=O)OC(C)(C)C,0.9553062,0.2935398,0.9795346,0.9310778,-11.72,1
CCn1nc([101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)cc1COc1cccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1,0.96827215,0.2854348,0.98314923,0.95339507,-12.064,1
CNC(NCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)=[100N][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.9812002,0.24455577,0.983044,0.97935635,-12.053,1
CNC(=O)C(C)(c1cccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1)C1CCN(CCOCCOCCOCCOC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)C1,0.25607362,0.18367733,4.726046e-06,0.51214254,16.302,1
CNC(=O)C(CCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.9464109,0.23627725,0.9697713,0.9230505,-11.025,1
CNC(=O)C(C[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)N[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.92539,0.24281359,0.9953177,0.85546225,-14.31,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=N)CCCCCCC(=O)[100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.98030406,0.24335477,0.9888219,0.9717862,-12.787,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=N)c3ccc(CNC(=O)C4CCC[100N]4[100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)cc3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.95043695,0.24568237,0.9934888,0.9073851,-13.734,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=N)c3ccc([100NH][100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)cc3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.96553874,0.36726537,0.99806285,0.9330147,-15.848,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=NCCCCCNC(=O)C([100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)C(=O)NO)C(N)=O)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.98104703,0.3047166,0.9871943,0.9748998,-12.548,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=NCCCOc3cccc(C(=O)NCCCC[100NH][100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)c3)NCCOC3CC3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.5617395,0.28307518,0.73531765,0.38816133,-6.775,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=Cc3ccccc3)NCCOCCOCCOCCOCCOCC[100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.026620107,0.0,0.053240214,0.0,0.0,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=Nc3ccc(OCCOCC[100NH][100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)cc3)c3ccccc3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.98668504,0.21954598,0.98914176,0.98422825,-12.838,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=O)CC(NC(=O)C(C)(C)C)C(=O)NCCOCCOc3ccc([100NH][100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)cc3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.96465504,0.2589957,0.9705873,0.9587228,-11.074,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=O)N(C)CCOCCOCCOCCOCC[100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.22041139,0.13645692,0.024311468,0.41651133,1.414,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=O)N(CCCCC[100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)C(C)c3ccccc3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.9841443,0.26325056,0.98572725,0.9825613,-12.357,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=O)N3CCCC3C(=O)Nc3cc(F)cc(C(=O)C(=O)NCCCCC[100NH][100C](=O)N4CCCC(n5nc(-c6ccc(Oc7ccc(F)cc7F)cc6)c(C(N)=O)c5N)C4)c3)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.7204053,0.20546497,0.7488666,0.69194394,-6.898,1
CNC(C)C(=O)NC(C(=O)N1Cc2cc([101O][101C](=O)C(=O)NC(=O)C(NC(CO)COCCOCCOCC[100NH][100C](=O)N3CCCC(n4nc(-c5ccc(Oc6ccc(F)cc6F)cc5)c(C(N)=O)c4N)C3)C(C)C)ccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,0.5767137,0.24628568,0.63474333,0.5186841,-5.96,1
